0, I-SLICE,    0, 34.00,   13908096, 0,0.00,33.518, 32.199, 31.797, 33.138,27,  -, -, 0.00%,  0.00%,  0.00%, 1.22%,  3.78%, 48.23%, 0.50%,  0.50%,  7.35%, 1.16%,  0.66%, 14.69%,21.92%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 135371.28, 92612.31, 0.00, 15110651.45 , 0, 255, 65.63, 0, 255, 60.46, 0, 255, 63.96, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.00%, 0.00%,0.00%, 17.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 48274.6, 82.6, 272370.8, 258632.1, 0.0, 0.0, 319898.8, 1.000, 0
1, i-SLICE,    1, 34.00,   11415912, 1,1.01,32.878, 34.019, 33.475, 33.096,27,  -, -, 0.00%,  0.00%,  0.00%, 0.54%,  1.11%, 14.02%, 0.30%,  0.36%,  8.08%, 0.73%,  0.62%, 41.29%,32.95%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 156800.80, 57172.57, 0.00, 9932334.00 , 0, 255, 70.94, 0, 255, 96.65, 0, 255, 105.99, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.89%, 0.00%,0.00%, 7.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 15563.7, 9.9, 250339.6, 238432.1, 0.0, 0.0, 584119.1, 1.000, 0
2, P-SLICE,    2, 37.00,    3086032, 0,1.01,30.533, 29.332, 28.613, 30.143,27, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.01%, 0.00%,  0.01%,  0.02%, 0.09%,  0.19%,  0.68%, 0.00%,  0.10%,  1.25%,  3.18%, 47.90%,  0.00%,  0.05%,  0.38%,  1.57%,  0.29%,  2.28%,  8.89%, 33.12%, 260059.68, 181610.97, 0.00, 1181126.90 , 0, 255, 65.70, 0, 255, 60.50, 0, 255, 64.00, 0.00%, 74.14%,0.00%, 9.05%, 16.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.23%, 64.89%,0.00%, 4.17%, 30.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.25%, 71.95%,0.00%, 7.09%, 20.72%, 0.00%, 0.00%, 0.00%, 0.00%, 1.15%, 41.52%,0.00%, 5.67%, 51.66%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 184460.7, 1208.6, 1394402.8, 1368915.2, 0.0, 0.0, 2162645.5, 1.000, 0
3, P-SLICE,    7, 37.00,    4430128, 0,1.01,29.063, 32.131, 30.673, 29.648,23, 2 1 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.03%,  0.24%, 0.01%,  0.08%,  0.68%, 0.18%,  0.55%,  6.34%, 0.00%,  0.07%,  2.39%,  7.42%, 50.11%,  0.00%,  0.20%,  1.04%,  4.40%,  0.08%,  1.76%,  6.21%, 18.22%, 356571.13, 109588.08, 0.00, 2648933.13 , 0, 255, 71.00, 0, 255, 96.58, 0, 255, 105.98, 0.00%, 53.49%,0.00%, 11.63%, 34.88%, 0.00%, 0.00%, 0.00%, 0.00%, 5.79%, 42.38%,0.00%, 10.79%, 41.03%, 0.00%, 0.00%, 0.00%, 0.00%, 4.88%, 45.71%,0.00%, 15.56%, 33.84%, 0.00%, 0.00%, 0.00%, 0.00%, 8.86%, 28.35%,0.00%, 17.66%, 45.14%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 9270.5, 1021.0, 1797095.8, 1755599.4, 0.0, 0.0, 3962305.3, 1.000, 0
4, B-SLICE,    5, 38.00,     134360, 0,1.01,29.500, 32.818, 31.168, 30.123,26, 2 1 0 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.51%, 20.01%,  6.96%,  2.22%,  0.00%,  1.54%,  1.17%,  0.48%,  3.09%, 42.94%, 17.06%,  4.03%, 309285.05, 94096.50, 0.00, 323072.21 , 0, 255, 71.00, 0, 255, 96.58, 0, 255, 105.98, 0.00%, 85.88%,0.00%, 5.00%, 9.12%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.97%,0.00%, 5.14%, 25.88%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.75%,0.00%, 17.18%, 17.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.98%,0.00%, 15.72%, 17.30%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 441.5, 13.6, 1743933.7, 1705879.2, 0.0, 0.0, 5709788.4, 1.000, 0
5, b-SLICE,    3, 39.00,    2388728, 0,1.01,28.129, 32.154, 30.375, 28.912,29, 2 1 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.10%,  2.09%,  5.19%, 54.46%,  0.00%,  0.53%,  1.75%,  7.11%,  0.34%,  3.48%,  5.95%, 19.00%, 427917.75, 109051.15, 0.00, 1446129.24 , 0, 255, 70.93, 0, 255, 96.64, 0, 255, 105.97, 0.00%, 77.13%,0.00%, 14.35%, 8.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.76%,0.00%, 22.15%, 12.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 57.57%,0.00%, 29.93%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 32.40%,0.00%, 34.64%, 32.95%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 286.0, 12.2, 2421881.0, 2367891.1, 0.0, 0.0, 8135059.0, 1.000, 0
6, b-SLICE,    4, 39.00,    3288984, 0,1.01,29.517, 28.011, 27.127, 29.030,29, 2 1 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.13%,  1.75%,  5.19%, 54.50%,  0.00%,  0.12%,  0.39%,  2.02%,  0.32%,  2.22%,  5.95%, 27.41%, 315733.58, 247474.90, 0.00, 1167378.90 , 0, 255, 65.95, 0, 255, 60.67, 0, 255, 64.07, 0.00%, 70.88%,0.00%, 6.51%, 22.61%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 57.27%,0.00%, 7.02%, 35.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.05%,0.00%, 10.66%, 36.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 35.06%,0.00%, 9.49%, 55.45%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 8.5, 9.1, 2081073.2, 2041914.9, 0.0, 0.0, 10214606.7, 1.000, 0
7, b-SLICE,    6, 39.00,    3117624, 0,1.01,29.516, 28.085, 27.122, 29.038,28, 5 2 1 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.08%,  1.61%,  4.80%, 52.94%,  0.00%,  0.11%,  0.34%,  1.73%,  0.20%,  2.83%,  6.18%, 29.18%, 315582.07, 245311.95, 0.00, 1197125.89 , 0, 255, 65.95, 0, 255, 60.67, 0, 255, 64.07, 0.00%, 70.48%,0.00%, 11.45%, 18.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 64.63%,0.00%, 6.34%, 29.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.58%,0.00%, 10.53%, 33.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 36.86%,0.00%, 7.11%, 56.03%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 6.8, 4.0, 2163296.6, 2121680.1, 0.0, 0.0, 12374823.7, 1.000, 0
8, P-SLICE,    8, 37.00,    4931360, 0,1.01,30.628, 28.968, 28.367, 30.138,27, 7 5 2 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.01%,  0.06%, 0.01%,  0.02%,  0.27%, 0.11%,  0.20%,  1.42%, 0.00%,  0.05%,  2.86%,  9.48%, 56.88%,  0.00%,  0.04%,  0.43%,  2.36%,  0.04%,  0.92%,  4.46%, 20.38%, 249825.00, 196625.46, 0.00, 1273050.63 , 0, 255, 66.22, 0, 255, 60.88, 0, 255, 64.20, 0.00%, 47.37%,0.00%, 14.04%, 38.60%, 0.00%, 0.00%, 0.00%, 0.00%, 1.90%, 24.67%,0.00%, 12.17%, 61.26%, 0.00%, 0.00%, 0.00%, 0.00%, 2.03%, 32.44%,0.00%, 12.23%, 53.30%, 0.00%, 0.00%, 0.00%, 0.00%, 2.12%, 27.95%,0.00%, 10.27%, 59.66%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 38261.0, 659.1, 1739098.8, 1700605.2, 0.0, 0.0, 14149756.8, 1.000, 0
9, P-SLICE,    9, 37.00,    3800144, 0,1.01,29.139, 32.327, 30.721, 29.736,27, 8 7 5 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.12%, 0.00%,  0.02%,  0.38%, 0.11%,  0.31%,  4.15%, 0.00%,  0.05%,  2.26%,  6.45%, 51.34%,  0.00%,  0.29%,  1.17%,  4.88%,  0.06%,  2.05%,  6.65%, 19.70%, 343486.23, 104848.06, 0.00, 1928229.40 , 0, 255, 71.08, 0, 255, 96.47, 0, 255, 105.94, 0.00%, 55.74%,0.00%, 11.48%, 32.79%, 0.00%, 0.00%, 0.00%, 0.00%, 2.75%, 49.44%,0.00%, 13.06%, 34.76%, 0.00%, 0.00%, 0.00%, 0.00%, 2.68%, 51.86%,0.00%, 16.85%, 28.61%, 0.00%, 0.00%, 0.00%, 0.00%, 5.66%, 30.54%,0.00%, 20.23%, 43.57%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 7947.9, 821.8, 1785252.6, 1745560.1, 0.0, 0.0, 15942565.9, 1.000, 0
